"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 30 10:25:50 GMT 2024","Sat Nov 30 10:25:51 GMT 2024","235","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Sat Nov 30 10:25:50 GMT 2024","Sat Nov 30 10:25:50 GMT 2024","261","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameName","User should not be able to create two project with the same Name",""
"passed","Sat Nov 30 10:25:40 GMT 2024","Sat Nov 30 10:25:40 GMT 2024","16","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Nov 30 10:25:51 GMT 2024","Sat Nov 30 10:25:51 GMT 2024","217","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Sat Nov 30 10:25:44 GMT 2024","Sat Nov 30 10:25:44 GMT 2024","403","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTestUseTestData","User should be able to create build type",""
"passed","Sat Nov 30 10:25:46 GMT 2024","Sat Nov 30 10:25:46 GMT 2024","173","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Sat Nov 30 10:25:49 GMT 2024","Sat Nov 30 10:25:49 GMT 2024","184","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Sat Nov 30 10:25:51 GMT 2024","Sat Nov 30 10:25:51 GMT 2024","232","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Sat Nov 30 10:25:51 GMT 2024","Sat Nov 30 10:25:51 GMT 2024","230","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithValidId","User should be able to create project with correct ID",""
"passed","Sat Nov 30 10:25:45 GMT 2024","Sat Nov 30 10:25:45 GMT 2024","428","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTestUseTestData","User should not be able to create two build types with the same id",""
"passed","Sat Nov 30 10:25:40 GMT 2024","Sat Nov 30 10:25:40 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Nov 30 10:25:40 GMT 2024","Sat Nov 30 10:25:43 GMT 2024","2419","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 30 10:25:48 GMT 2024","Sat Nov 30 10:25:48 GMT 2024","156","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Sat Nov 30 10:25:50 GMT 2024","Sat Nov 30 10:25:50 GMT 2024","234","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProject","User should be able to create project",""
"passed","Sat Nov 30 10:25:49 GMT 2024","Sat Nov 30 10:25:49 GMT 2024","292","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithTheSameId","User should not be able to create two project with the same ID",""
"passed","Sat Nov 30 10:25:48 GMT 2024","Sat Nov 30 10:25:49 GMT 2024","151","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Sat Nov 30 10:25:49 GMT 2024","Sat Nov 30 10:25:49 GMT 2024","143","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
"passed","Sat Nov 30 10:25:43 GMT 2024","Sat Nov 30 10:25:44 GMT 2024","720","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesBuildTypeTest1","User should be able to create build type",""
"passed","Sat Nov 30 10:25:46 GMT 2024","Sat Nov 30 10:25:46 GMT 2024","178","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyName","User should not be able to create project with empty Name",""
"passed","Sat Nov 30 10:24:31 GMT 2024","Sat Nov 30 10:25:24 GMT 2024","53222","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 30 10:25:45 GMT 2024","Sat Nov 30 10:25:45 GMT 2024","373","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypTest","com.example.teamcity.api.BuildTypTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Nov 30 10:25:46 GMT 2024","Sat Nov 30 10:25:46 GMT 2024","205","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithEmptyId","User should not be able to create project with empty ID",""
"passed","Sat Nov 30 10:25:47 GMT 2024","Sat Nov 30 10:25:48 GMT 2024","435","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateProjectWithIncorrectId","User should not be able to create project with incorrect ID",""
